age_group_start,age_group_end,population_perc,population_count,age_mortality_rate_per_1000_2020
0,4,3.4,744000,0.24
5,9,4.9,1066000,0.07
10,14,3.7,815000,0.1
15,19,2.6,561000,0.1
20,24,4.8,1045000,0.09
25,29,7.5,1641000,0.09
30,34,10.1,2201000,0.16
35,39,10.4,2275000,0.34
40,44,8.6,1885000,0.51
45,49,6.5,1412000,1.03
50,54,7.8,1713000,1.73
55,59,7.1,1552000,3.1
60,64,6.8,1479000,5.08
65,69,6.3,1378000,8.35
70,74,4.2,924000,15.04
75,79,2.2,492000,28.07
80,84,1.5,330000,52.95
85,100,1.6,345000,116.47
