participant_code,include_all_contacts,diary_contact_idx,contact_age_or_range,contact_age_or_mid_range,contact_gender,contact_member,skin_contact,non_physical_contact,total_time,house_contact,work_contact,school_contact,transport_contact,other_contact,how_often,record_time,record_date
88138203,997,1,1,55,2,1,1,9001,1,1,9001,9001,9001,9001,1,736696.543055556,15
88138203,997,2,1,33,2,3,9001,2,3,9001,2,3,9001,9001,2,736696.54375,15
88138203,997,3,2,15,2,3,1,9001,3,9001,9001,9001,9001,9001,2,736696.545138889,15
88138203,997,4,2,15,2,3,9001,2,3,9001,9001,9001,9001,9001,2,736696.545138889,15
88138203,997,5,2,15,1,3,9001,2,3,9001,2,3,9001,9001,2,736696.545833333,15
88138203,997,6,2,22.5,2,997,9001,2,1,9001,9001,9001,9001,997,5,736696.547222222,15
88138203,997,7,1,54,1,1,1,9001,2,1,9001,9001,9001,9001,1,736696.547916667,15
88326854,1,1,1,57,1,1,1,2,4,1,9001,9001,9001,9001,1,736696.558333333,91
88326854,1,2,1,59,2,1,1,2,4,1,9001,9001,9001,9001,1,736696.558333333,91
88326854,1,3,1,23,1,1,1,2,4,1,9001,9001,9001,9001,1,736696.559027778,91
88326854,1,4,2,55.5,999,5,9001,2,5,9001,9001,9001,9001,9001,1,736696.561111111,91
88326854,1,5,2,35.5,2,5,9001,2,5,9001,2,9001,9001,9001,1,736696.561805556,91
88326854,1,6,2,25.5,2,5,9001,2,5,9001,2,9001,9001,9001,1,736696.561805556,91
88326854,1,7,2,35.5,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.561805556,91
88326854,1,8,2,25.5,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.5625,91
88326854,1,9,2,35.5,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.5625,91
88326854,1,10,2,35.5,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.563194444,91
88326854,1,11,2,25.5,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.563194444,91
88326854,1,12,2,35.5,2,5,9001,2,5,9001,2,9001,9001,9001,1,736696.563194444,91
88326854,1,13,2,35.5,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.563888889,91
