participant_code,include_all_contacts,num_left_out,num_diary_contact
88138203,997,15,7
88326854,1,9001,21
52514473,997,30,4
13310788,1,9001,1
97632983,1,9001,5
46464610,1,9001,1
65878115,1,9001,8
66751965,1,9001,10
11841028,1,9001,34
30022876,997,2,2
23869239,1,9001,1
64996187,1,9001,5
86072707,1,9001,4
54550414,1,9001,3
78485378,999,9001,12
78917226,1,9001,8
55257573,1,9001,8
92407597,1,9001,9
90415556,1,9001,7
17892155,1,9001,1
98287770,1,9001,10
20162067,997,20,3
31080111,1,9001,14
78251014,1,9001,2
32301026,997,3,9
67890127,999,9001,17
62310371,1,9001,5
93403811,1,9001,3
80684232,1,9001,12
39273981,1,9001,8
87088262,997,6,1
24760713,997,5,2
82976814,997,10,1
88405608,999,9001,4
62323231,1,9001,2
25419195,1,9001,5
45357188,997,5,7
19094963,997,30,23
17257781,997,20,10
70253310,1,9001,5
29415238,1,9001,24
20602985,1,9001,9
24577058,1,9001,5
96188068,997,6,4
89881612,1,9001,4
51971408,1,9001,5
42897756,1,9001,7
51105699,997,8,9
72470897,997,7,3
88570943,1,9001,14
18918326,1,9001,4
62691603,997,30,8
44892039,997,3,9
27608939,997,3,4
63426566,999,9001,17
72397375,1,9001,2
47681562,1,9001,4
23919020,1,9001,4
85231372,1,9001,2
93188586,1,9001,8
36531565,1,9001,2
67580946,997,80,4
25169140,1,9001,9
70087084,997,10,1
48437164,1,9001,23
28718993,1,9001,4
46351919,1,9001,7
64098064,997,5,6
40851437,1,9001,3
12026009,1,9001,12
73985604,1,9001,1
33231904,1,9001,9
46454142,1,9001,8
37827890,1,9001,15
30880905,1,9001,3
34505588,1,9001,2
57938188,997,8,6
35548946,1,9001,4
10739775,997,5,1
77710158,997,10,3
79384042,997,30,4
41925018,1,9001,4
95953133,1,9001,4
41944507,997,5,18
60178680,1,9001,7
53631408,1,9001,1
59824347,999,9001,6
13019341,1,9001,7
96350681,1,9001,3
68362333,1,9001,21
92885307,1,9001,14
95443572,1,9001,17
88871210,1,9001,1
46523078,997,15,23
44598621,997,20,20
14066034,1,9001,15
95569056,997,70,3
96442770,1,9001,9
32396588,1,9001,11
54970399,1,9001,1
39674114,1,9001,6
98429940,1,9001,2
39854810,1,9001,4
32879731,997,30,5
82618644,1,9001,16
89609207,1,9001,2
33403043,1,9001,7
65326152,1,9001,3
59199766,997,40,14
19963077,1,9001,12
46089917,999,9001,16
58163225,997,30,14
26937464,1,9001,29
53035837,1,9001,19
82623057,1,9001,2
94899027,997,10,9
79740749,1,9001,7
57555724,1,9001,3
96476939,997,100,3
92507447,1,9001,12
48451909,1,9001,1
37553666,1,9001,2
85006266,999,9001,10
66529683,1,9001,3
72977412,1,9001,15
37594009,1,9001,5
24498627,997,10,5
21975579,997,20,2
77748949,997,20,8
72769522,997,2,8
85278749,997,15,3
56189352,1,9001,7
80565373,997,4,1
92574679,997,2,4
35591877,1,9001,8
93749739,997,20,6
30325393,1,9001,9
10358113,997,50,1
71246681,1,9001,9
68593450,999,9001,14
81972597,1,9001,5
42922106,1,9001,22
92112639,1,9001,10
80651740,1,9001,5
69657024,1,9001,2
42279695,1,9001,11
91113229,997,15,3
70915663,1,9001,11
40023972,1,9001,4
83766141,997,3,2
35400897,1,9001,17
15207770,1,9001,7
49995427,1,9001,1
50519942,997,10,15
26742090,1,9001,8
43269432,997,5,16
13851014,997,3,13
10532697,1,9001,2
70658523,1,9001,1
33755370,997,30,7
41001238,997,100,20
92159577,1,9001,5
85315463,997,3,8
74085700,997,20,3
74182378,1,9001,15
98126978,1,9001,5
91549678,1,9001,2
32951691,1,9001,3
63397236,997,2,4
55774986,1,9001,2
56299382,999,9001,4
