participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence,diary_first_acccess,diary_last_access,diary_time_elasped
10105130,1,379,6,400.4662268518,6,11,1,15,1,999,4,2,2,7,1,11,1,1,9611.13333333333,9611.18333333333,0.0499999999992724
10358113,2,28,5,30.4843171295943,7,11,1,33,2,1,1,3,1,5,1,5,1,1,731.583333333333,731.583333333333,0
10400394,2,344,6,343.790428240784,5,18,2,18,2,1,1,3,1,2,1,11,1,1,8250.96666666667,8250.96666666667,0
10495813,2,318,1,315.870740740793,5,20,1,19,2,1,4,2,2,4,1,14,1,1,7580.83333333333,7580.88333333333,0.0500000000001819
10532697,2,30,7,31.5577199073741,1,13,1,23,1,1,4,3,1,1,1,5,1,1,757.333333333333,757.366666666667,0.033333333333303
10605717,2,395,1,396.822638888843,2,19,1,15,2,999,999,2,999,999,1,6,1,1,9523.63333333333,9523.71666666667,0.0833333333339397
10667596,2,328,4,328.954571759212,4,22,2,18,2,1,1,3,1,2,1,15,1,1,7894.73333333333,7894.86666666667,0.133333333333212
10739775,2,27,4,32.6398263889132,2,15,1,19,1,1,4,2,999,999,1,18,1,1,783.333333333333,783.333333333333,0
10822794,1,98,5,105.739710648195,5,17,1,69,2,2,999,2,1,1,997,14,1,1,2537.71666666667,2537.73333333333,0.0166666666664241
10946094,2,328,4,326.742569444468,2,17,2,23,2,999,999,3,2,9,1,17,1,1,7841.81666666667,7841.81666666667,0
10977706,1,352,7,370.690300925868,4,16,2,33,1,1,1,3,1,4,1,8,1,1,8896.46666666667,8896.55,0.0833333333321207
11006409,2,85,6,85.4867129629711,6,11,2,43,2,999,999,2,999,999,1,5,1,1,2051.63333333333,2051.65,0.0166666666668789
11037821,1,336,5,364.498194444459,5,11,1,58,2,999,6,2,999,999,1,5,1,1,8747.93333333333,8747.93333333333,0
11164072,1,349,4,391.546840277733,4,13,1,9,1,999,4,1,999,999,1,13,1,1,9396.83333333333,9397.11666666667,0.283333333332848
11170632,2,395,1,411.849849537015,3,20,1,5,2,1,4,1,2,11,1,5,1,1,9884.35,9884.38333333333,0.0333333333328483
11249443,2,331,7,333.483912036987,2,11,2,63,2,999,999,3,999,999,999,999,1,1,8003.6,8003.6,0
11256889,2,314,4,314.814039351884,4,19,2,18,2,1,1,2,1,3,2,13,1,1,7555.48333333333,7555.48333333333,0
11294271,2,339,1,339.892662037048,1,21,1,27,1,1,1,3,1,3,2,3,1,1,8157.41666666667,8157.41666666667,0
11319336,1,109,2,118.434826388839,4,10,1,2,1,2,4,1,2,8,1,9,1,1,2825.33333333333,2842.41666666667,17.083333333333
11344005,2,344,6,345.782824074035,7,18,2,23,2,1,1,3,1,6,1,2,1,1,8264.93333333333,8298.76666666667,33.8333333333339
11417589,2,100,7,100.494004629669,7,11,1,44,2,1,1,2,1,3,2,8,1,1,2411.51666666667,2411.78333333333,0.266666666666424
11625385,2,352,7,354.578541666619,2,13,2,38,1,2,1,3,999,999,1,6,1,1,8509.76666666667,8509.83333333333,0.0666666666675155
