participant_code,residence_type,num_usual_contacts,usual_contact_idx,usual_age_or_range,usual_age_or_mid_range,usual_gender,usual_relation
88138203,1,4,1,1,28,2,4
88138203,1,4,2,1,55,2,2
88138203,1,4,3,1,54,1,2
88138203,1,4,4,1,25,1,4
88326854,1,3,1,1,57,1,2
88326854,1,3,2,1,59,2,2
88326854,1,3,3,1,23,1,4
52514473,1,3,1,2,43,2,2
52514473,1,3,2,2,43,1,2
52514473,1,3,3,2,28,2,999
13310788,1,2,1,1,90,1,2
13310788,1,2,2,1,80,2,2
97632983,1,1,1,1,62,2,1
46464610,1,5,1,1,0,2,3
46464610,1,5,2,1,2,1,3
46464610,1,5,3,1,36,2,1
46464610,1,5,4,1,65,2,2
46464610,1,5,5,1,36,2,997
65878115,1,3,1,1,63,1,1
65878115,1,3,2,1,29,2,3
65878115,1,3,3,1,27,2,3
66751965,1,3,1,2,43,1,2
66751965,1,3,2,2,43,2,2
66751965,1,3,3,2,13,1,4
11841028,1,3,1,1,12,1,9
11841028,1,3,2,1,51,2,997
11841028,1,3,3,1,79,2,5
30022876,1,3,1,2,28,2,4
30022876,1,3,2,2,28,2,4
30022876,1,3,3,2,63,2,2
23869239,1,2,1,1,67,1,2
23869239,1,2,2,1,67,2,2
64996187,1,2,1,2,53,1,2
64996187,1,2,2,2,53,2,2
86072707,1,2,1,2,63,2,2
86072707,1,2,2,2,63,1,2
54550414,1,1,1,2,63,1,1
78485378,1,1,1,1,75,1,1
78917226,1,3,1,2,48,1,2
78917226,1,3,2,2,48,2,2
78917226,1,3,3,2,18,2,4
55257573,1,2,1,1,51,2,1
55257573,1,2,2,1,21,1,3
92407597,1,3,1,2,48,1,2
92407597,1,3,2,2,48,2,2
92407597,1,3,3,2,18,2,4
90415556,1,4,1,1,75,2,5
90415556,1,4,2,1,47,1,2
90415556,1,4,3,1,46,2,2
90415556,1,4,4,1,14,1,4
17892155,1,2,1,2,63,2,5
17892155,1,2,2,2,28,1,4
98287770,1,3,1,1,55,1,2
98287770,1,3,2,1,50,2,2
98287770,1,3,3,1,25,1,4
20162067,1,3,1,2,58,2,2
20162067,1,3,2,2,58,1,2
20162067,1,3,3,2,58,1,8
31080111,1,1,1,2,33,1,1
78251014,999,2,1,2,28,1,4
78251014,999,2,2,2,63,1,2
32301026,1,1,1,2,23,1,999
67890127,1,1,1,1,32,1,3
62310371,1,4,1,2,33,2,4
62310371,1,4,2,2,58,2,2
62310371,1,4,3,2,58,1,2
62310371,1,4,4,2,33,2,999
93403811,1,2,1,1,43,2,2
93403811,1,2,2,1,43,1,2
80684232,1,3,1,2,53,1,2
80684232,1,3,2,2,53,2,2
80684232,1,3,3,2,18,1,4
39273981,1,1,1,1,58,1,1
87088262,1,2,1,2,63,1,2
87088262,1,2,2,2,53,2,2
24760713,1,1,1,1,83,2,2
82976814,1,1,1,2,28,1,1
88405608,1,4,1,1,60,1,2
88405608,1,4,2,1,57,2,2
88405608,1,4,3,1,21,2,7
88405608,1,4,4,1,19,2,7
62323231,1,2,1,2,58,1,2
62323231,1,2,2,2,53,2,2
25419195,1,3,1,2,63,1,2
25419195,1,3,2,2,63,2,2
25419195,1,3,3,2,63,2,5
45357188,1,2,1,1,22,2,3
45357188,1,2,2,1,20,1,3
19094963,1,4,1,1,13,1,3
19094963,1,4,2,1,8,1,3
19094963,1,4,3,1,41,2,1
19094963,1,4,4,1,42,2,997
17257781,1,3,1,2,33,2,1
17257781,1,3,2,2,23,2,997
17257781,1,3,3,2,3,2,3
29415238,1,5,1,2,3,1,4
29415238,1,5,2,2,33,2,2
29415238,1,5,3,2,33,1,2
29415238,1,5,4,2,58,2,5
29415238,1,5,5,2,58,1,5
20602985,1,1,1,1,33,2,3
24577058,1,2,1,1,67,1,1
24577058,1,2,2,1,36,2,3
96188068,1,2,1,1,45,2,2
96188068,1,2,2,1,42,1,2
89881612,1,2,1,1,84,1,1
89881612,1,2,2,1,45,1,3
51971408,1,2,1,2,43,1,1
51971408,1,2,2,2,3,1,3
42897756,1,1,1,2,63,2,2
51105699,1,1,1,1,69,2,2
72470897,1,2,1,2,38,2,2
72470897,1,2,2,2,18,2,4
18918326,1,2,1,1,11,2,4
18918326,1,2,2,1,48,2,2
62691603,1,5,1,1,3,1,997
62691603,1,5,2,1,7,1,997
62691603,1,5,3,1,39,2,4
62691603,1,5,4,1,41,1,997
62691603,1,5,5,1,38,2,999
44892039,1,2,1,2,53,2,2
44892039,1,2,2,2,63,1,2
27608939,1,3,1,1,16,2,3
27608939,1,3,2,2,48,2,4
27608939,1,3,3,2,63,2,2
63426566,1,3,1,1,48,1,1
63426566,1,3,2,1,12,999,3
63426566,1,3,3,1,50,2,997
72397375,1,2,1,2,3,2,3
72397375,1,2,2,2,33,2,1
47681562,1,4,1,2,53,1,1
47681562,1,4,2,2,18,1,3
47681562,1,4,3,2,18,2,3
47681562,1,4,4,2,28,2,997
23919020,1,3,1,1,43,1,1
23919020,1,3,2,1,16,1,3
23919020,1,3,3,1,10,1,3
93188586,1,3,1,1,84,1,2
93188586,1,3,2,1,82,2,2
93188586,1,3,3,2,48,1,4
36531565,1,2,1,1,90,2,2
36531565,1,2,2,1,42,2,997
67580946,1,3,1,1,36,1,1
67580946,1,3,2,1,9,2,3
67580946,1,3,3,1,2,1,3
70087084,1,2,1,2,58,2,2
70087084,1,2,2,2,38,2,4
48437164,1,4,1,2,38,2,1
48437164,1,4,2,1,8,1,3
48437164,1,4,3,1,2,1,3
48437164,1,4,4,2,33,2,997
28718993,1,3,1,2,33,2,2
28718993,1,3,2,2,33,1,2
28718993,1,3,3,2,28,2,997
46351919,1,4,1,2,8,1,3
46351919,1,4,2,2,38,1,1
46351919,1,4,3,2,63,999,5
46351919,1,4,4,2,23,2,999
64098064,1,3,1,2,48,1,2
64098064,1,3,2,2,48,2,2
64098064,1,3,3,2,23,2,4
40851437,1,4,1,1,47,2,2
40851437,1,4,2,1,20,2,9
40851437,1,4,3,1,52,1,2
40851437,1,4,4,1,22,1,4
12026009,1,2,1,2,38,2,1
12026009,1,2,2,2,8,1,3
33231904,1,3,1,2,38,2,2
33231904,1,3,2,2,38,1,2
33231904,1,3,3,2,13,2,4
46454142,1,1,1,2,18,1,3
37827890,1,3,1,1,58,1,1
37827890,1,3,2,1,22,2,3
37827890,1,3,3,1,18,2,3
30880905,1,3,1,2,58,1,2
30880905,1,3,2,2,48,2,2
30880905,1,3,3,2,18,1,4
34505588,1,1,1,2,53,2,4
57938188,1,3,1,2,48,1,2
57938188,1,3,2,2,48,2,2
57938188,1,3,3,2,13,2,4
10739775,1,2,1,2,43,2,2
10739775,1,2,2,1,21,2,4
77710158,1,3,1,1,58,1,2
77710158,1,3,2,1,58,2,2
77710158,1,3,3,1,28,1,4
79384042,1,2,1,1,52,2,1
79384042,1,2,2,1,23,1,3
41925018,1,1,1,1,28,2,4
