participant_code,residence_type,num_usual_contacts
88138203,1,4
88326854,1,3
52514473,1,3
13310788,1,2
97632983,1,1
46464610,1,5
65878115,1,3
66751965,1,3
11841028,1,3
30022876,1,3
23869239,1,2
64996187,1,2
86072707,1,2
54550414,1,1
78485378,1,1
78917226,1,3
55257573,1,2
92407597,1,3
90415556,1,4
17892155,1,2
98287770,1,3
20162067,1,3
31080111,1,1
78251014,999,2
32301026,1,1
67890127,1,1
62310371,1,4
93403811,1,2
80684232,1,3
39273981,1,1
87088262,1,2
24760713,1,1
82976814,1,1
88405608,1,4
62323231,1,2
25419195,1,3
45357188,1,2
19094963,1,4
17257781,1,3
70253310,999,0
29415238,1,5
20602985,1,1
24577058,1,2
96188068,1,2
89881612,1,2
51971408,1,2
42897756,1,1
51105699,1,1
72470897,1,2
88570943,999,0
18918326,1,2
62691603,1,5
44892039,1,2
27608939,1,3
63426566,1,3
72397375,1,2
47681562,1,4
23919020,1,3
85231372,999,0
93188586,1,3
36531565,1,2
67580946,1,3
25169140,1,0
70087084,1,2
48437164,1,4
28718993,1,3
46351919,1,4
64098064,1,3
40851437,1,4
12026009,1,2
73985604,999,0
33231904,1,3
46454142,1,1
37827890,1,3
30880905,1,3
34505588,1,1
57938188,1,3
35548946,999,0
10739775,1,2
77710158,1,3
79384042,1,2
41925018,1,1
95953133,1,4
41944507,1,1
60178680,1,2
53631408,1,4
59824347,999,9
13019341,1,1
96350681,1,2
68362333,1,1
92885307,1,3
95443572,1,2
88871210,1,3
46523078,1,1
44598621,1,3
14066034,1,1
95569056,1,2
96442770,1,2
32396588,1,1
54970399,1,2
39674114,1,2
98429940,1,3
39854810,1,1
32879731,1,2
82618644,1,1
89609207,1,3
33403043,1,2
65326152,1,2
59199766,1,10
19963077,1,3
46089917,1,2
58163225,1,5
26937464,1,2
53035837,1,3
82623057,1,0
94899027,1,4
79740749,1,3
57555724,1,2
96476939,1,3
92507447,1,3
48451909,1,1
37553666,1,2
85006266,1,3
66529683,1,3
72977412,1,5
37594009,1,2
24498627,1,3
21975579,1,1
77748949,1,3
72769522,1,3
85278749,1,2
56189352,1,3
80565373,999,3
92574679,1,3
35591877,1,3
93749739,1,4
30325393,1,1
10358113,1,3
71246681,1,2
