Detection of other respiratory viruses in respiratory specimens in 2014,,,,,,,,,,,
Week number,Date,No. of specimen tested,Adenovirus,,RSV,,Rhinovirus / Enterovirus,,,,
,,,No.,%,No.,%,No.,%,Differentiation performed,Rhinovirus,Enterovirus
1,29/12/2013 - 04/01,2164,39,1.8,6,0.28,22,1.02,22,22,0
2,05/01 - 11/01,2412,33,1.37,6,0.25,18,0.75,18,17,1
3,12/01 - 18/01,2307,28,1.21,4,0.17,12,0.52,12,12,0
4,19/01 - 25/01,2589,20,0.77,20,0.77,13,0.5,13,12,1
5,26/01 - 01/02,2676,17,0.64,12,0.45,10,0.37,10,10,0
6,02/02 - 08/02,3042,27,0.89,12,0.39,12,0.39,12,10,2
7,09/02 - 15/02,2588,42,1.62,21,0.81,148,5.72,148,139,9
8,16/02 - 22/02,2879,46,1.6,33,1.15,152,5.28,150,141,9
9,23/02 - 01/03,2882,36,1.25,46,1.6,170,5.9,168,160,8
10,02/03 - 08/03,2516,32,1.27,48,1.91,207,8.23,206,189,17
11,09/03 - 15/03,2433,28,1.15,71,2.92,201,8.26,201,198,3
12,16/03 - 22/03,2553,35,1.37,97,3.8,263,10.3,262,258,4
13,23/03 - 29/03,2533,46,1.82,152,6,266,10.5,209,197,12
14,30/03 - 05/04,2186,40,1.83,128,5.86,240,10.98,80,77,3
15,06/04 - 12/04,2552,49,1.92,186,7.29,312,12.23,89,83,6
16,13/04 - 19/04,2309,47,2.04,146,6.32,273,11.82,87,84,3
17,20/04 - 26/04,2297,23,1,148,6.44,274,11.93,100,86,14
18,27/04 - 03/05,2193,69,3.15,117,5.34,259,11.81,109,94,15
19,04/05 - 10/05,1933,40,2.07,76,3.93,246,12.73,99,85,14
20,11/05 - 17/05,1919,35,1.82,64,3.34,253,13.18,102,82,20
21,18/05 - 24/05,1972,56,2.84,71,3.6,302,15.31,100,64,36
22,25/05 - 31/05,2061,64,3.11,104,5.05,332,16.11,94,65,29
23,01/06 - 07/06,2132,54,2.53,114,5.35,324,15.2,106,70,36
24,08/06 - 14/06,2183,73,3.34,119,5.45,301,13.79,101,58,43
25,15/06 - 21/06,2048,55,2.69,89,4.35,226,11.04,95,54,41
26,22/06 - 28/06,1825,77,4.22,67,3.67,216,11.84,112,52,60
27,29/06 - 05/07,1867,84,4.5,78,4.18,251,13.44,107,55,52
28,06/07 - 12/07,1945,99,5.09,95,4.88,261,13.42,99,47,52
29,13/07 - 19/07,1924,73,3.79,101,5.25,207,10.76,102,57,45
30,20/07 - 26/07,1728,97,5.61,83,4.8,156,9.03,103,57,46
31,27/07 - 02/08,1709,73,4.27,82,4.8,123,7.2,98,67,31
32,03/08 - 09/08,1653,82,4.96,72,4.36,92,5.57,76,55,21
33,10/08 - 16/08,1549,60,3.87,67,4.33,131,8.46,99,79,20
34,17/08 - 23/08,1480,49,3.31,52,3.51,113,7.64,91,68,23
35,24/08 - 30/08,1638,64,3.91,61,3.72,137,8.36,111,81,30
36,31/08 - 06/09,1844,50,2.71,74,4.01,124,6.72,84,73,11
37,07/09 - 13/09,1848,55,2.98,78,4.22,181,9.79,93,84,9
38,14/09 - 20/09,1949,74,3.8,53,2.72,253,12.98,86,75,11
39,21/09 - 27/09,1983,59,2.98,60,3.03,261,13.16,105,91,14
40,28/09 - 04/10,1912,67,3.5,86,4.5,275,14.38,122,111,11
41,05/10 - 11/10,1857,74,3.98,65,3.5,276,14.86,81,73,8
42,12/10 - 18/10,1898,83,4.37,37,1.95,294,15.49,96,86,10
43,19/10 - 25/10,1797,53,2.95,34,1.89,305,16.97,97,92,5
44,26/10 - 01/11,1962,95,4.84,26,1.33,307,15.65,89,80,9
45,02/11 - 08/11,1964,105,5.35,29,1.48,294,14.97,99,92,7
46,09/11 - 15/11,1812,116,6.4,24,1.32,305,16.83,113,108,5
47,16/11 - 22/11,2102,94,4.47,28,1.33,372,17.7,88,79,9
48,23/11 - 29/11,2140,125,5.84,33,1.54,319,14.91,80,78,2
49,30/11 - 06/12,2045,117,5.72,37,1.81,277,13.55,101,91,10
50,07/12 - 13/12,2158,120,5.56,55,2.55,291,13.48,84,77,7
51,14/12 - 20/12,2373,140,5.9,50,2.11,314,13.23,102,100,2
52,21/12 - 27/12,2495,89,3.57,46,1.84,269,10.78,109,107,2
,,,,,,,,,,,
Remarks:,,,,,,,,,,,
"1. For specimens received from 10 February 2014 onwards, molecular testing has replaced viral culture. Please interpret the data and trends in light of the enhanced sensitivity of molecular testing, and hence positive detection rates.",,,,,,,,,,,
2. Figures are subject to minor adjustments.,,,,,,,,,,,
3. Multiple specimens may have been received for testing from the same patient.,,,,,,,,,,,
