Detection of other respiratory viruses in respiratory specimens in 2019,,,,,,,,,,,,,
,,,,,,,,,,,,,
Week number,Date,No. of specimen tested,Adenovirus,,RSV,,Human metapneumovirus,,Rhinovirus / Enterovirus,,,,
,,,No.,%,No.,%,No.,%,No.,%,Differentiation performed,Rhinovirus,Enterovirus
1,30/12/2018 - 05/01,6055,81,1.34,113,1.87,49,0.81,519,8.57,112,88,24
2,06/01 - 12/01,7326,109,1.49,141,1.92,75,1.02,581,7.93,105,88,17
3,13/01 - 19/01,7707,99,1.28,211,2.74,64,0.83,633,8.21,117,98,19
4,20/01 - 26/01,7826,98,1.25,212,2.71,94,1.2,702,8.97,112,98,14
5,27/01 - 02/02,7095,83,1.17,207,2.92,83,1.17,602,8.48,117,99,18
6,03/02 - 09/02,6073,52,0.86,126,2.07,97,1.6,492,8.1,96,86,10
7,10/02 - 16/02,6374,77,1.21,138,2.17,133,2.09,464,7.28,109,90,19
8,17/02 - 23/02,6243,75,1.2,188,3.01,142,2.27,433,6.94,107,85,22
9,24/02 - 02/03,6164,59,0.96,146,2.37,166,2.69,449,7.28,104,78,26
10,03/03 - 09/03,5973,79,1.32,175,2.93,232,3.88,509,8.52,93,72,21
11,10/03 - 16/03,5964,63,1.06,173,2.9,245,4.11,627,10.51,110,67,43
12,17/03 - 23/03,6475,76,1.17,181,2.8,312,4.82,674,10.41,100,77,23
13,24/03 - 30/03,6117,70,1.14,157,2.57,315,5.15,694,11.35,114,67,47
14,31/03 - 06/04,5410,75,1.39,154,2.85,290,5.36,660,12.2,122,74,48
15,07/04 - 13/04,6209,83,1.34,123,1.98,358,5.77,666,10.73,106,59,47
16,14/04 - 20/04,4306,60,1.39,123,2.86,236,5.48,551,12.8,99,60,39
17,21/04 - 27/04,6579,81,1.23,159,2.42,366,5.56,684,10.4,118,66,52
18,28/04 - 04/05,5439,77,1.42,119,2.19,261,4.8,502,9.23,107,56,51
19,05/05 - 11/05,5433,74,1.36,95,1.75,277,5.1,531,9.77,101,54,47
20,12/05 - 18/05,5508,97,1.76,91,1.65,232,4.21,520,9.44,96,54,42
21,19/05 - 25/05,5585,79,1.41,106,1.9,239,4.28,559,10.01,104,65,39
22,26/05 - 01/06,5059,79,1.56,79,1.56,228,4.51,536,10.59,103,64,39
23,02/06 - 08/06,4818,54,1.12,77,1.6,167,3.47,451,9.36,103,60,43
24,09/06 - 15/06,5527,76,1.38,87,1.57,189,3.42,519,9.39,87,54,33
25,16/06 - 22/06,5401,85,1.57,86,1.59,152,2.81,468,8.67,102,57,45
26,23/06 - 29/06,5262,95,1.81,109,2.07,168,3.19,462,8.78,101,53,48
27,30/06 - 06/07,4800,100,2.08,79,1.65,119,2.48,390,8.13,98,55,43
28,07/07 - 13/07,5033,141,2.8,125,2.48,112,2.23,397,7.89,94,55,39
29,14/07 - 20/07,5210,119,2.28,149,2.86,89,1.71,432,8.29,101,50,51
30,21/07 - 27/07,4746,105,2.21,130,2.74,89,1.88,322,6.78,91,46,45
31,28/07 - 03/08,4508,113,2.51,140,3.11,56,1.24,287,6.37,95,49,46
32,04/08 - 10/08,4721,122,2.58,146,3.09,43,0.91,259,5.49,108,62,46
33,11/08 - 17/08,4686,73,1.56,142,3.03,42,0.9,276,5.89,111,79,32
34,18/08 - 24/08,4462,99,2.22,133,2.98,36,0.81,302,6.77,92,61,31
35,25/08 - 31/08,4370,72,1.65,139,3.18,27,0.62,247,5.65,94,64,30
36,01/09 - 07/09,4297,84,1.95,136,3.16,25,0.58,281,6.54,90,69,21
37,08/09 - 14/09,4127,64,1.55,136,3.3,18,0.44,302,7.32,84,61,23
38,15/09 - 21/09,5345,109,2.04,202,3.78,33,0.62,549,10.27,110,93,17
39,22/09 - 28/09,4904,70,1.43,140,2.85,16,0.33,553,11.28,107,94,13
40,29/09 - 05/10,4798,103,2.15,92,1.92,19,0.4,512,10.67,103,85,18
41,06/10 - 12/10,4317,77,1.78,62,1.44,7,0.16,454,10.52,105,98,7
42,13/10 - 19/10,4294,73,1.7,72,1.68,12,0.28,367,8.55,102,87,15
43,20/10 - 26/10,4743,94,1.98,68,1.43,9,0.19,403,8.5,92,83,9
44,27/10 - 02/11,4676,94,2.01,60,1.28,14,0.3,374,8,86,78,8
45,03/11 - 09/11,4784,86,1.8,33,0.69,17,0.36,402,8.4,109,101,8
46,10/11 - 16/11,4740,79,1.67,38,0.8,9,0.19,413,8.71,99,91,8
47,17/11 - 23/11,4781,78,1.63,19,0.4,6,0.13,376,7.86,106,102,4
48,24/11 - 30/11,4794,73,1.52,21,0.44,7,0.15,334,6.97,109,106,3
49,01/12 - 07/12,4799,63,1.31,22,0.46,4,0.08,394,8.21,105,100,5
50,08/12 - 14/12,5725,70,1.22,18,0.31,10,0.17,405,7.07,106,104,2
51,15/12 - 21/12,5974,45,0.75,19,0.32,4,0.07,453,7.58,112,111,1
52,22/12 - 28/12,5366,56,1.04,20,0.37,4,0.07,412,7.68,95,92,3
,,,,,,,,,,,,,
Remarks:,,,,,,,,,,,,,
1. For specimens received from 10 February 2014 onwards, molecular testing has replaced viral culture. Please interpret the data and trends in light of the enhanced sensitivity of molecular testing, and hence positive detection rates.,,,,,,,,,,,
2. Figures are subject to minor adjustments.,,,,,,,,,,,,,
3. Multiple specimens may have been received for testing from the same patient.,,,,,,,,,,,,,
