Detection of other respiratory viruses in respiratory specimens in 2022,,,,,,,,,,,,,,
Week number,Date,Age,No. of specimen tested,Adenovirus,,RSV,,Human metapneumovirus,,Rhinovirus / Enterovirus,,,,
,,,,No.,%,No.,%,No.,%,No.,%,Differentiation performed,Rhinovirus,Enterovirus
1,26/12/2021 - 01/01,<18,462,7,1.52,50,10.82,0,0,87,18.83,6,6,0
2,02/01 - 08/01,<18,585,12,2.05,34,5.81,0,0,81,13.85,9,9,0
3,09/01 - 15/01,<18,563,6,1.07,41,7.28,0,0,101,17.94,14,14,0
4,16/01 - 22/01,<18,443,11,2.48,35,7.9,0,0,64,14.45,5,5,0
5,23/01 - 29/01,<18,450,18,4,22,4.89,1,0.22,38,8.44,2,2,0
6,30/01 - 05/02,<18,430,10,2.33,16,3.72,0,0,23,5.35,0,0,0
7,06/02 - 12/02,<18,488,6,1.23,12,2.46,0,0,18,3.69,1,1,0
8,13/02 - 19/02,<18,786,7,0.89,3,0.38,0,0,13,1.65,0,0,0
9,20/02 - 26/02,<18,881,1,0.11,1,0.11,0,0,10,1.14,0,0,0
10,27/02 - 05/03,<18,777,6,0.77,2,0.26,0,0,9,1.16,0,0,0
11,06/03 - 12/03,<18,594,3,0.51,0,0,0,0,7,1.18,1,1,0
12,13/03 - 19/03,<18,403,6,1.49,0,0,0,0,7,1.74,0,0,0
13,20/03 - 26/03,<18,290,3,1.03,0,0,0,0,1,0.34,0,0,0
14,27/03 - 02/04,<18,297,3,1.01,0,0,0,0,0,0,0,0,0
15,03/04 - 09/04,<18,246,6,2.44,0,0,0,0,1,0.41,0,0,0
16,10/04 - 16/04,<18,280,9,3.21,0,0,0,0,0,0,0,0,0
17,17/04 - 23/04,<18,279,7,2.51,1,0.36,0,0,0,0,0,0,0
18,24/04 - 30/04,<18,363,11,3.03,0,0,0,0,0,0,0,0,0
19,01/05 - 07/05,<18,391,14,3.58,0,0,0,0,2,0.51,1,1,0
20,08/05 - 14/05,<18,392,9,2.3,1,0.26,1,0.26,0,0,0,0,0
21,15/05 - 21/05,<18,412,9,2.18,2,0.49,0,0,3,0.73,2,1,1
22,22/05 - 28/05,<18,396,3,0.76,0,0,2,0.51,2,0.51,1,1,0
23,29/05 - 04/06,<18,423,2,0.47,2,0.47,0,0,18,4.26,14,13,1
24,05/06 - 11/06,<18,641,5,0.78,0,0,0,0,63,9.83,50,49,1
25,12/06 - 18/06,<18,623,4,0.64,2,0.32,0,0,132,21.19,101,101,0
26,19/06 - 25/06,<18,763,5,0.66,0,0,2,0.26,210,27.52,92,92,0
27,26/06 - 02/07,<18,617,9,1.46,0,0,1,0.16,194,31.44,93,93,0
28,03/07 - 09/07,<18,829,12,1.45,3,0.36,1,0.12,166,20.02,88,86,2
29,10/07 - 16/07,<18,654,2,0.31,0,0,0,0,82,12.54,56,53,3
30,17/07 - 23/07,All ages,516,1,0.19,0,0,1,0.19,44,8.53,44,44,0
31,24/07 - 30/07,All ages,537,4,0.74,1,0.19,1,0.19,51,9.5,49,49,0
32,31/07 - 06/08,All ages,544,4,0.74,0,0,0,0,40,7.35,38,37,1
33,07/08 - 13/08,All ages,569,3,0.53,0,0,0,0,41,7.21,40,40,0
34,14/08 - 20/08,All ages,634,1,0.16,2,0.32,1,0.16,31,4.89,29,28,1
35,21/08 - 27/08,All ages,658,5,0.76,1,0.15,0,0,42,6.38,41,39,2
36,28/08 - 03/09,All ages,707,4,0.57,1,0.14,2,0.28,51,7.21,46,41,5
37,04/09 - 10/09,All ages,625,3,0.48,0,0,1,0.16,24,3.84,22,19,3
38,11/09 - 17/09,All ages,552,4,0.72,0,0,3,0.54,41,7.43,37,34,3
39,18/09 - 24/09,All ages,588,8,1.36,2,0.34,1,0.17,56,9.52,49,46,3
40,25/09 - 01/10,All ages,448,3,0.67,2,0.45,2,0.45,57,12.72,52,52,0
41,02/10 - 08/10,All ages,577,4,0.69,2,0.35,3,0.52,110,19.06,86,84,2
42,09/10 - 15/10,All ages,694,6,0.86,2,0.29,5,0.72,112,16.14,75,69,6
43,16/10 - 22/10,All ages,617,7,1.13,3,0.49,1,0.16,109,17.67,69,69,0
44,23/10 - 29/10,All ages,626,11,1.76,3,0.48,1,0.16,94,15.02,70,70,0
45,30/10 - 05/11,All ages,564,10,1.77,7,1.24,0,0,106,18.79,65,63,2
46,06/11 - 12/11,All ages,587,1,0.17,10,1.7,3,0.51,75,12.78,56,54,2
47,13/11 - 19/11,All ages,664,8,1.2,19,2.86,9,1.36,80,12.05,58,57,1
48,20/11 - 26/11,All ages,657,4,0.61,27,4.11,7,1.07,77,11.72,63,62,1
49,27/11 - 03/12,All ages,667,6,0.9,33,4.95,9,1.35,69,10.34,55,53,2
50,04/12 - 10/12,All ages,694,6,0.86,46,6.63,8,1.15,73,10.52,64,59,5
51,11/12 - 17/12,All ages,656,10,1.52,66,10.06,9,1.37,80,12.2,64,64,0
52,18/12 - 24/12,All ages,774,3,0.39,61,7.88,5,0.65,49,6.33,45,43,2
53,25/12 - 31/12,All ages,1460,2,0.14,28,1.92,2,0.14,21,1.44,20,19,1
,,,,,,,,,,,,,,
Remarks:,,,,,,,,,,,,,,
"1. For specimens received from 10 February 2014 onwards, molecular testing has replaced viral culture. Please interpret the data and trends in light of the enhanced sensitivity of molecular testing, and hence positive detection rates.",,,,,,,,,,,,,,
2. Figures are subject to minor adjustments.,,,,,,,,,,,,,,
3. Multiple specimens may have been received for testing from the same patient.,,,,,,,,,,,,,,
"4.?As a result of disruptions in laboratory testing since early 2020, please interpret the data with caution.",,,,,,,,,,,,,,
