Detection of other respiratory viruses in respiratory specimens in 2023,,,,,,,,,,,,,
Week number,Date,No. of specimen tested,Adenovirus,,RSV,,Human metapneumovirus,,Rhinovirus / Enterovirus,,,,
,,,No.,%,No.,%,No.,%,No.,%,Differentiation performed,Rhinovirus,Enterovirus
1,01/01 - 07/01,1724,1,0.06,27,1.57,6,0.35,17,0.99,15,15,0
2,08/01 - 14/01,3143,5,0.16,45,1.43,5,0.16,23,0.73,21,21,0
3,15/01 - 21/01,2455,6,0.24,58,2.36,4,0.16,11,0.45,11,11,0
4,22/01 - 28/01,1465,0,0,52,3.55,2,0.14,16,1.09,16,16,0
5,29/01 - 04/02,1814,1,0.06,70,3.86,6,0.33,20,1.1,20,17,3
6,05/02 - 11/02,1859,3,0.16,61,3.28,10,0.54,15,0.81,15,15,0
7,12/02 - 18/02,1725,3,0.17,82,4.75,9,0.52,28,1.62,28,27,1
8,19/02 - 25/02,1651,3,0.18,69,4.18,7,0.42,24,1.45,23,22,1
9,26/02 - 04/03,1442,2,0.14,44,3.05,6,0.42,40,2.77,40,40,0
10,05/03 - 11/03,1512,2,0.13,37,2.45,3,0.2,54,3.57,42,41,1
11,12/03 - 18/03,1705,1,0.06,32,1.88,7,0.41,90,5.28,61,59,2
12,19/03 - 25/03,2102,4,0.19,55,2.62,14,0.67,117,5.57,86,84,2
13,26/03 - 01/04,2412,8,0.33,57,2.36,10,0.41,151,6.26,107,106,1
14,02/04 - 08/04,2886,5,0.17,81,2.81,13,0.45,168,5.82,67,66,1
15,09/04 - 15/04,5426,23,0.42,169,3.11,24,0.44,288,5.31,75,74,1
16,16/04 - 22/04,6784,27,0.4,163,2.4,38,0.56,257,3.79,88,86,2
17,23/04 - 29/04,7598,29,0.18,172,2.26,51,0.67,277,3.65,84,82,2
18,30/04 - 06/05,7832,30,0.38,152,1.94,40,0.51,301,3.84,77,73,4
19,07/05 - 13/05,8464,29,0.34,182,2.15,38,0.45,228,2.69,94,91,3
20,14/05 - 20/05,8440,37,0.44,160,1.9,50,0.59,221,2.62,95,91,4
21,21/05 - 27/05,8268,35,0.42,177,2.14,70,0.85,309,3.74,86,81,5
22,28/05 - 03/06,7245,44,0.61,213,2.94,71,0.98,272,3.75,107,100,7
23,04/06 - 10/06,4949,32,0.65,150,3.03,78,1.58,148,2.99,71,58,13
24,11/06 - 17/06,5304,29,0.55,167,3.15,101,1.9,206,3.88,67,44,23
25,18/06 - 24/06,4700,41,0.87,203,4.32,151,3.21,239,5.09,86,44,42
26,25/06 - 01/07,5103,60,1.18,291,5.7,191,3.74,338,6.62,103,46,57
27,02/07 - 08/07,4697,42,0.89,287,6.11,180,3.83,270,5.75,92,47,45
28,09/07 - 15/07,4620,46,1,272,5.89,190,4.11,245,5.3,80,37,43
29,16/07 - 22/07,5085,60,1.18,314,6.18,226,4.44,204,4.01,100,49,51
30,23/07 - 29/07,5211,49,0.94,371,7.12,180,3.45,141,2.71,77,36,41
31,30/07 - 05/08,5050,42,0.83,386,7.64,182,3.6,132,2.61,92,48,44
32,06/08 - 12/08,5135,32,0.62,416,8.1,153,2.98,103,2.01,80,42,38
33,13/08 - 19/08,5385,40,0.74,407,7.56,123,2.28,114,2.12,95,56,39
34,20/08 - 26/08,5461,19,0.35,439,8.04,101,1.85,135,2.47,99,75,24
35,27/08 - 02/09,4378,25,0.57,365,8.34,76,1.74,132,3.02,76,54,22
36,03/09 - 09/09,6732,40,0.59,490,7.28,132,1.96,167,2.48,56,45,11
37,10/09 - 16/09,6399,19,0.3,425,6.64,104,1.63,154,2.41,97,77,20
38,17/09 - 23/09,6569,35,0.53,417,6.35,83,1.26,314,4.78,92,71,21
39,24/09 - 30/09,6329,32,0.51,371,5.86,100,1.58,281,4.44,84,69,15
40,01/10 - 07/10,7204,23,0.32,274,3.8,96,1.33,272,3.78,101,84,17
41,08/10 - 14/10,5804,11,0.19,152,2.62,59,1.02,173,2.98,84,65,19
42,15/10 - 21/10,5909,17,0.29,123,2.08,67,1.13,176,2.98,88,68,20
43,22/10 - 28/10,5549,23,0.41,90,1.62,59,1.06,189,3.41,84,65,19
44,29/10 - 04/11,6306,83,1.32,81,1.28,88,1.4,335,5.31,99,85,14
45,05/11 - 11/11,6188,99,1.6,45,0.73,84,1.36,332,5.37,83,56,27
46,12/11 - 18/11,5494,65,1.18,37,0.67,87,1.58,245,4.46,90,73,17
47,19/11 - 25/11,6027,78,1.29,30,0.5,88,1.46,265,4.4,90,80,10
48,26/11 - 02/12,5929,70,1.18,26,0.44,78,1.32,246,4.15,99,91,8
49,03/12 - 09/12,5828,70,1.2,16,0.27,66,1.13,236,4.05,95,85,10
50,10/12 - 16/12,5882,37,0.63,9,0.15,87,1.48,172,2.92,88,85,3
51,17/12 - 23/12,5442,17,0.31,8,0.15,45,0.83,141,2.59,89,86,3
52,24/12 - 30/12,6642,21,0.32,7,0.11,70,1.05,194,2.92,85,85,0
,,,,,,,,,,,,,
Remarks:,,,,,,,,,,,,,
"1. For specimens received from 10 February 2014 onwards, molecular testing has replaced viral culture. Please interpret the data and trends in light of the enhanced sensitivity of molecular testing, and hence positive detection rates.",,,,,,,,,,,,,
2. Figures are subject to minor adjustments.,,,,,,,,,,,,,
3. Multiple specimens may have been received for testing from the same patient.,,,,,,,,,,,,,
"4.?As a result of disruptions in laboratory testing from?early 2020 to early 2023, please interpret the data with caution.",,,,,,,,,,,,,
