year,week_num,week_start,week_end,num_specimen,num_adenovirus,perc_adenovirus,num_RSV,perc_RSV,num_rhino_entero_combined,perc_rhino_entero_combined,num_rhino_entero_tested,num_rhino_tested,num_entero_tested
2014,1,2013-12-29,2014-01-04,2164,39,1.8,6,0.28,22,1.02,22,22,0
2014,2,2014-01-05,2014-01-11,2412,33,1.37,6,0.25,18,0.75,18,17,1
2014,3,2014-01-12,2014-01-18,2307,28,1.21,4,0.17,12,0.52,12,12,0
2014,4,2014-01-19,2014-01-25,2589,20,0.77,20,0.77,13,0.5,13,12,1
2014,5,2014-01-26,2014-02-01,2676,17,0.64,12,0.45,10,0.37,10,10,0
2014,6,2014-02-02,2014-02-08,3042,27,0.89,12,0.39,12,0.39,12,10,2
2014,7,2014-02-09,2014-02-15,2588,42,1.62,21,0.81,148,5.72,148,139,9
2014,8,2014-02-16,2014-02-22,2879,46,1.6,33,1.15,152,5.28,150,141,9
2014,9,2014-02-23,2014-03-01,2882,36,1.25,46,1.6,170,5.9,168,160,8
2014,10,2014-03-02,2014-03-08,2516,32,1.27,48,1.91,207,8.23,206,189,17
2014,11,2014-03-09,2014-03-15,2433,28,1.15,71,2.92,201,8.26,201,198,3
2014,12,2014-03-16,2014-03-22,2553,35,1.37,97,3.8,263,10.3,262,258,4
2014,13,2014-03-23,2014-03-29,2533,46,1.82,152,6,266,10.5,209,197,12
2014,14,2014-03-30,2014-04-05,2186,40,1.83,128,5.86,240,10.98,80,77,3
2014,15,2014-04-06,2014-04-12,2552,49,1.92,186,7.29,312,12.23,89,83,6
2014,16,2014-04-13,2014-04-19,2309,47,2.04,146,6.32,273,11.82,87,84,3
2014,17,2014-04-20,2014-04-26,2297,23,1,148,6.44,274,11.93,100,86,14
2014,18,2014-04-27,2014-05-03,2193,69,3.15,117,5.34,259,11.81,109,94,15
2014,19,2014-05-04,2014-05-10,1933,40,2.07,76,3.93,246,12.73,99,85,14
2014,20,2014-05-11,2014-05-17,1919,35,1.82,64,3.34,253,13.18,102,82,20
2014,21,2014-05-18,2014-05-24,1972,56,2.84,71,3.6,302,15.31,100,64,36
2014,22,2014-05-25,2014-05-31,2061,64,3.11,104,5.05,332,16.11,94,65,29
2014,23,2014-06-01,2014-06-07,2132,54,2.53,114,5.35,324,15.2,106,70,36
2014,24,2014-06-08,2014-06-14,2183,73,3.34,119,5.45,301,13.79,101,58,43
2014,25,2014-06-15,2014-06-21,2048,55,2.69,89,4.35,226,11.04,95,54,41
2014,26,2014-06-22,2014-06-28,1825,77,4.22,67,3.67,216,11.84,112,52,60
2014,27,2014-06-29,2014-07-05,1867,84,4.5,78,4.18,251,13.44,107,55,52
2014,28,2014-07-06,2014-07-12,1945,99,5.09,95,4.88,261,13.42,99,47,52
2014,29,2014-07-13,2014-07-19,1924,73,3.79,101,5.25,207,10.76,102,57,45
2014,30,2014-07-20,2014-07-26,1728,97,5.61,83,4.8,156,9.03,103,57,46
2014,31,2014-07-27,2014-08-02,1709,73,4.27,82,4.8,123,7.2,98,67,31
2014,32,2014-08-03,2014-08-09,1653,82,4.96,72,4.36,92,5.57,76,55,21
2014,33,2014-08-10,2014-08-16,1549,60,3.87,67,4.33,131,8.46,99,79,20
2014,34,2014-08-17,2014-08-23,1480,49,3.31,52,3.51,113,7.64,91,68,23
2014,35,2014-08-24,2014-08-30,1638,64,3.91,61,3.72,137,8.36,111,81,30
2014,36,2014-08-31,2014-09-06,1844,50,2.71,74,4.01,124,6.72,84,73,11
2014,37,2014-09-07,2014-09-13,1848,55,2.98,78,4.22,181,9.79,93,84,9
2014,38,2014-09-14,2014-09-20,1949,74,3.8,53,2.72,253,12.98,86,75,11
2014,39,2014-09-21,2014-09-27,1983,59,2.98,60,3.03,261,13.16,105,91,14
2014,40,2014-09-28,2014-10-04,1912,67,3.5,86,4.5,275,14.38,122,111,11
2014,41,2014-10-05,2014-10-11,1857,74,3.98,65,3.5,276,14.86,81,73,8
