Country area or territory,Surveillance site type,Year-week (ISO 8601 calendar),Week start date (ISO 8601 calendar),Specimen tested,Influenza positive,Influenza negative,A (H1N1)pdm09,A (H3),A not subtyped,B (Victoria),B (Yamagata),B (lineage not determined)
Thailand,Not defined,2014-02,1/6/2014,112,18,94,5,7,0,0,6,0
Thailand,Not defined,2014-03,1/13/2014,82,18,64,5,10,0,2,1,0
Thailand,Not defined,2014-04,1/20/2014,89,25,64,8,11,0,0,5,1
Thailand,Not defined,2014-05,1/27/2014,102,24,78,13,7,0,0,4,0
Thailand,Not defined,2014-06,2/3/2014,101,22,79,8,4,0,1,7,2
Thailand,Not defined,2014-07,2/10/2014,134,50,84,38,3,0,0,8,1
Thailand,Not defined,2014-08,2/17/2014,128,60,68,30,9,0,1,11,9
Thailand,Not defined,2014-09,2/24/2014,123,39,84,24,5,0,0,10,0
Thailand,Not defined,2014-10,3/3/2014,139,45,94,25,3,0,0,17,0
Thailand,Not defined,2014-11,3/10/2014,135,54,81,27,7,0,1,16,3
Thailand,Not defined,2014-12,3/17/2014,119,43,76,24,3,0,1,10,5
Thailand,Not defined,2014-13,3/24/2014,125,41,84,17,3,0,1,20,0
Thailand,Not defined,2014-14,3/31/2014,136,33,103,23,1,0,0,9,0
Thailand,Not defined,2014-15,4/7/2014,82,11,71,5,0,0,1,5,0
Thailand,Not defined,2014-16,4/14/2014,11,2,9,2,0,0,0,0,0
Thailand,Not defined,2014-17,4/21/2014,149,30,119,13,0,0,0,13,4
Thailand,Not defined,2014-18,4/28/2014,78,17,61,9,1,0,0,6,1
Thailand,Not defined,2014-19,5/5/2014,33,25,8,23,0,0,0,2,0
Thailand,Not defined,2014-20,5/12/2014,114,24,90,10,1,0,2,11,0
Thailand,Not defined,2014-21,5/19/2014,70,17,53,6,2,0,2,6,1
Thailand,Not defined,2014-22,5/26/2014,55,16,39,4,4,0,0,5,3
Thailand,Not defined,2014-23,6/2/2014,81,11,70,4,0,0,0,6,1
Thailand,Not defined,2014-24,6/9/2014,86,9,77,2,0,0,1,4,2
Thailand,Not defined,2014-25,6/16/2014,76,22,54,4,1,0,1,4,12
Thailand,Not defined,2014-26,6/23/2014,74,12,62,3,3,0,0,6,0
Thailand,Not defined,2014-27,6/30/2014,76,20,56,5,1,0,0,8,6
Thailand,Not defined,2014-28,7/7/2014,76,27,49,1,5,0,1,13,7
Thailand,Not defined,2014-29,7/14/2014,86,28,58,4,5,0,2,9,8
Thailand,Not defined,2014-30,7/21/2014,77,24,53,2,1,0,0,13,8
Thailand,Not defined,2014-31,7/28/2014,81,12,69,0,2,0,1,3,6
Thailand,Not defined,2014-32,8/4/2014,91,15,76,1,2,0,0,6,6
Thailand,Not defined,2014-33,8/11/2014,8,1,7,0,1,0,0,0,0
Thailand,Not defined,2014-34,8/18/2014,148,33,115,0,19,0,0,2,12
Thailand,Not defined,2014-35,8/25/2014,86,11,75,2,2,0,0,1,6
Thailand,Not defined,2014-36,9/1/2014,80,13,67,2,2,0,0,0,9
Thailand,Not defined,2014-37,9/8/2014,89,15,74,0,5,0,0,9,1
