Region Code: AS
"Region Name: Asia"
Country Code: THA
"Country Name: Thailand"
Export date: 3/28/2025 9:15:28 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age10_14,[10-14],119.00000000,9.94152047,,5.82040576,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age15_19,[15-19],216.00000000,6.75633406,,10.41864126,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age20_24,[20-24],467.00000000,11.37914230,,19.37258543,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age25_29,[25-29],795.00000000,16.10615883,,32.90320498,
CG0590,Noncommunicable diseases,2019,Male,Age_all,[All],147989.00000000,52.86756405,357.71923774,461.09756294,
CG0590,Noncommunicable diseases,2019,Male,Age00,[0],674.00000000,35.41776143,,217.39901751,
CG0590,Noncommunicable diseases,2019,Male,Age60_64,[60-64],17182.00000000,64.78395294,,1054.32905720,
CG0590,Noncommunicable diseases,2019,Male,Age65_69,[65-69],18089.00000000,64.07041405,,1435.70556650,
CG0590,Noncommunicable diseases,2019,Male,Age70_74,[70-74],15960.00000000,58.78020035,,1892.95550130,
CG0590,Noncommunicable diseases,2019,Male,Age75_79,[75-79],14778.00000000,53.60951897,,2648.84755950,
CG1480,Injuries,2019,Male,Age10_14,[10-14],705.00000000,58.89724311,,34.48223578,
CG1480,Injuries,2019,Male,Age15_19,[15-19],2371.00000000,74.16327807,,114.36388166,
CG1480,Injuries,2019,Male,Age20_24,[20-24],2671.00000000,65.08284600,,110.80123271,
CG1480,Injuries,2019,Male,Age25_29,[25-29],2560.00000000,51.86385737,,105.95245880,
CG1610,Ill-defined diseases,2019,Male,Age_all,[All],57118.00000000,20.40482417,137.76323385,177.96573124,
CG1610,Ill-defined diseases,2019,Male,Age00,[0],68.00000000,3.57330531,,21.93343203,
CG1610,Ill-defined diseases,2019,Male,Age01_04,[1-4],76.00000000,10.16042781,,5.48690111,
CG1610,Ill-defined diseases,2019,Male,Age05_09,[5-9],63.00000000,9.34718101,,3.19074098,
CG1610,Ill-defined diseases,2019,Male,Age70_74,[70-74],5821.00000000,21.43856806,,690.40689055,
CG1610,Ill-defined diseases,2019,Male,Age75_79,[75-79],7513.00000000,27.25458899,,1346.64986570,
CG1610,Ill-defined diseases,2019,Male,Age80_84,[80-84],9820.00000000,36.06713924,,2603.94569370,
CG1610,Ill-defined diseases,2019,Male,Age85_over,[85+],11675.00000000,33.87396275,,3760.74267820,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age25_29,[25-29],344.00000000,22.57217848,,14.71732049,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age30_34,[30-34],432.00000000,21.69763938,,19.02270836,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age35_39,[35-39],709.00000000,22.50079340,,27.98877922,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age40_44,[40-44],918.00000000,18.93173850,,34.87896278,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age45_49,[45-49],982.00000000,13.65595884,,36.18294273,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age_unknown,[Unknown],0.00000000,0.00000000,,,
CG0590,Noncommunicable diseases,2019,Female,Age50_54,[50-54],7179.00000000,70.02536091,,267.03973123,
CG0590,Noncommunicable diseases,2019,Female,Age55_59,[55-59],9268.00000000,71.38565817,,388.04057930,
CG0590,Noncommunicable diseases,2019,Female,Age60_64,[60-64],11122.00000000,70.33453488,,587.94050605,
CG0590,Noncommunicable diseases,2019,Female,Age65_69,[65-69],13189.00000000,67.86210445,,867.44740660,
CG0590,Noncommunicable diseases,2019,Female,Age70_74,[70-74],13116.00000000,61.00181387,,1248.94659410,
CG1480,Injuries,2019,Female,Age01_04,[1-4],163.00000000,29.69034608,,12.45341430,
CG1480,Injuries,2019,Female,Age05_09,[5-9],147.00000000,31.47751606,,7.88097688,
CG1480,Injuries,2019,Female,Age10_14,[10-14],240.00000000,44.11764706,,12.41389156,
CG1480,Injuries,2019,Female,Age15_19,[15-19],466.00000000,47.45417515,,23.63837147,
CG1480,Injuries,2019,Female,Age85_over,[85+],524.00000000,0.97020867,,109.52238625,
CG1610,Ill-defined diseases,2019,Female,Age_all,[All],55088.00000000,25.69223235,94.73417795,164.62798776,
CG1610,Ill-defined diseases,2019,Female,Age00,[0],49.00000000,3.28859060,,16.73085853,
CG1610,Ill-defined diseases,2019,Female,Age65_69,[65-69],2907.00000000,14.95755081,,191.19490568,
CG1610,Ill-defined diseases,2019,Female,Age70_74,[70-74],4956.00000000,23.05009069,,471.92584023,
CG1610,Ill-defined diseases,2019,Female,Age75_79,[75-79],7561.00000000,29.86176935,,1028.54795310,
CG1610,Ill-defined diseases,2019,Female,Age80_84,[80-84],12543.00000000,40.30397481,,2317.62749450,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age_all,[All],42719.00000000,15.26092797,108.87910309,133.10196563,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age01_04,[1-4],158.00000000,21.12299465,,11.40697862,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age35_39,[35-39],1526.00000000,16.86001547,,60.33845683,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age45_49,[45-49],2711.00000000,15.77538551,,106.64298046,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age80_84,[80-84],4274.00000000,15.69765306,,1133.32626220,
