Region Code: AS
"Region Name: Asia"
Country Code: THA
"Country Name: Thailand"
Export date: 3/28/2025 9:12:58 AM
Source location: "WHO Mortality Database portal"
Metadata information: 
"Thailand, 2019: Data reported by country"

Year,Age group code,Age group,Sex,Population
2019,Age_all,[All],All,65557054.00000000,
2019,Age00,[0],All,602901.00000000,
2019,Age01_04,[1-4],All,2693995.00000000,
2019,Age05_09,[5-9],All,3839714.00000000,
2019,Age10_14,[10-14],All,3977849.00000000,
2019,Age15_19,[15-19],All,4044578.00000000,
2019,Age20_24,[20-24],All,4719769.00000000,
2019,Age25_29,[25-29],All,4753560.00000000,
2019,Age30_34,[30-34],All,4581389.00000000,
2019,Age35_39,[35-39],All,5062225.00000000,
2019,Age40_44,[40-44],All,5190003.00000000,
2019,Age45_49,[45-49],All,5256113.00000000,
2019,Age50_54,[50-54],All,5126383.00000000,
2019,Age55_59,[55-59],All,4513336.00000000,
2019,Age60_64,[60-64],All,3521350.00000000,
2019,Age65_69,[65-69],All,2780376.00000000,
2019,Age70_74,[70-74],All,1893291.00000000,
2019,Age75_79,[75-79],All,1293017.00000000,
2019,Age80_84,[80-84],All,918320.00000000,
2019,Age85_over,[85+],All,788885.00000000,
2019,Age00_04,[0-4],All,3296896.00000000,
2019,Age05_14,[5-14],All,7817563.00000000,
2019,Age15_24,[15-24],All,8764347.00000000,
2019,Age25_34,[25-34],All,9334949.00000000,
2019,Age35_54,[35-54],All,20634724.00000000,
2019,Age55_74,[55-74],All,12708353.00000000,
2019,Age75_over,[75+],All,3000222.00000000,
2019,Age_unknown,[Unknown],All,0.00000000,
2019,Age_all,[All],Male,32094943.00000000,
2019,Age00,[0],Male,310029.00000000,
2019,Age01_04,[1-4],Male,1385117.00000000,
2019,Age05_09,[5-9],Male,1974463.00000000,
2019,Age10_14,[10-14],Male,2044531.00000000,
2019,Age15_19,[15-19],Male,2073207.00000000,
2019,Age20_24,[20-24],Male,2410623.00000000,
2019,Age25_29,[25-29],Male,2416178.00000000,
2019,Age30_34,[30-34],Male,2310419.00000000,
2019,Age35_39,[35-39],Male,2529067.00000000,
2019,Age40_44,[40-44],Male,2558044.00000000,
2019,Age45_49,[45-49],Male,2542127.00000000,
2019,Age50_54,[50-54],Male,2438019.00000000,
2019,Age55_59,[55-59],Male,2124926.00000000,
2019,Age60_64,[60-64],Male,1629662.00000000,
2019,Age65_69,[65-69],Male,1259938.00000000,
2019,Age70_74,[70-74],Male,843126.00000000,
2019,Age75_79,[75-79],Male,557903.00000000,
2019,Age80_84,[80-84],Male,377120.00000000,
2019,Age85_over,[85+],Male,310444.00000000,
2019,Age00_04,[0-4],Male,1695146.00000000,
2019,Age05_14,[5-14],Male,4018994.00000000,
2019,Age15_24,[15-24],Male,4483830.00000000,
2019,Age25_34,[25-34],Male,4726597.00000000,
2019,Age35_54,[35-54],Male,10067257.00000000,
2019,Age55_74,[55-74],Male,5857652.00000000,
2019,Age75_over,[75+],Male,1245467.00000000,
2019,Age_unknown,[Unknown],Male,0.00000000,
2019,Age_all,[All],Female,33462111.00000000,
2019,Age00,[0],Female,292872.00000000,
2019,Age01_04,[1-4],Female,1308878.00000000,
2019,Age05_09,[5-9],Female,1865251.00000000,
2019,Age10_14,[10-14],Female,1933318.00000000,
2019,Age15_19,[15-19],Female,1971371.00000000,
2019,Age20_24,[20-24],Female,2309146.00000000,
2019,Age25_29,[25-29],Female,2337382.00000000,
2019,Age30_34,[30-34],Female,2270970.00000000,
2019,Age35_39,[35-39],Female,2533158.00000000,
2019,Age40_44,[40-44],Female,2631959.00000000,
2019,Age45_49,[45-49],Female,2713986.00000000,
2019,Age50_54,[50-54],Female,2688364.00000000,
2019,Age55_59,[55-59],Female,2388410.00000000,
2019,Age60_64,[60-64],Female,1891688.00000000,
2019,Age65_69,[65-69],Female,1520438.00000000,
2019,Age70_74,[70-74],Female,1050165.00000000,
2019,Age75_79,[75-79],Female,735114.00000000,
2019,Age80_84,[80-84],Female,541200.00000000,
2019,Age85_over,[85+],Female,478441.00000000,
2019,Age00_04,[0-4],Female,1601750.00000000,
2019,Age05_14,[5-14],Female,3798569.00000000,
2019,Age15_24,[15-24],Female,4280517.00000000,
2019,Age25_34,[25-34],Female,4608352.00000000,
2019,Age35_54,[35-54],Female,10567467.00000000,
2019,Age55_74,[55-74],Female,6850701.00000000,
2019,Age75_over,[75+],Female,1754755.00000000,
2019,Age_unknown,[Unknown],Female,0.00000000,
