Country,Cases of influenza-like illnesses,Year,Week
Thailand,151607,2011,6
Thailand,129853,2011,7
Thailand,0,2011,8
Thailand,119435,2011,9
Thailand,116299,2011,10
Thailand,108030,2011,11
Thailand,101941,2011,12
Thailand,62797,2011,13
Thailand,70954,2011,14
Thailand,24133,2011,15
Thailand,71154,2011,16
Thailand,63850,2011,17
Thailand,52051,2011,18
Thailand,42780,2011,19
Thailand,62490,2011,20
Thailand,76171,2011,21
Thailand,98400,2011,22
Thailand,98564,2011,23
Thailand,105526,2011,24
Thailand,106659,2011,25
Thailand,99828,2011,26
Thailand,105004,2011,27
Thailand,95698,2011,28
Thailand,103356,2011,29
Thailand,110554,2011,30
Thailand,120193,2011,31
Thailand,124174,2011,32
Thailand,144280,2011,33
Thailand,159619,2011,34
Thailand,155553,2011,35
Thailand,148976,2011,36
Thailand,143263,2011,37
Thailand,144400,2011,38
Thailand,135962,2011,39
Thailand,131337,2011,40
Thailand,115790,2011,41
Thailand,106174,2011,42
Thailand,88640,2011,43
Thailand,83928,2011,44
Thailand,88486,2011,45
Thailand,98341,2011,46
Thailand,95176,2011,47
Thailand,87377,2011,48
Thailand,76094,2011,49
Thailand,93873,2011,50
Thailand,95626,2011,51
Thailand,89133,2011,52
Thailand,97974,2012,1
Thailand,106661,2012,2
Thailand,105767,2012,3
Thailand,100334,2012,4
Thailand,101513,2012,5
Thailand,98927,2012,6
Thailand,101750,2012,7
Thailand,106537,2012,8
Thailand,93784,2012,9
Thailand,88774,2012,10
Thailand,83448,2012,11
Thailand,82415,2012,12
Thailand,77801,2012,13
Thailand,65858,2012,14
Thailand,53649,2012,15
Thailand,57011,2012,16
Thailand,54999,2012,17
Thailand,47995,2012,18
Thailand,45796,2012,19
Thailand,46669,2012,20
Thailand,44118,2012,21
Thailand,73699,2012,22
Thailand,71597,2012,23
Thailand,81458,2012,24
Thailand,97523,2012,25
Thailand,90347,2012,26
Thailand,101172,2012,27
Thailand,97236,2012,28
Thailand,110080,2012,29
Thailand,116080,2012,30
Thailand,118092,2012,31
Thailand,119840,2012,32
Thailand,114913,2012,33
Thailand,124956,2012,34
Thailand,127014,2012,35
Thailand,130347,2012,36
Thailand,130296,2012,37
Thailand,122069,2012,38
Thailand,123979,2012,39
Thailand,126579,2012,40
Thailand,112848,2012,41
Thailand,97974,2012,42
Thailand,87492,2012,43
Thailand,78992,2012,44
Thailand,81271,2012,45
Thailand,87097,2012,46
Thailand,90071,2012,47
Thailand,85659,2012,48
Thailand,99268,2012,49
Thailand,100493,2012,50
Thailand,99233,2012,51
Thailand,95596,2012,52
Thailand,79783,2012,53
Thailand,160763,2013,1
Thailand,112537,2013,2
Thailand,108200,2013,3
Thailand,106718,2013,4
Thailand,103641,2013,5
Thailand,102943,2013,6
Thailand,98726,2013,7
Thailand,88879,2013,8
Thailand,92036,2013,9
Thailand,88465,2013,10
Thailand,81266,2013,11
Thailand,71647,2013,12
Thailand,57648,2013,13
Thailand,48058,2013,14
Thailand,41570,2013,15
Thailand,56038,2013,16
Thailand,48810,2013,17
Thailand,46995,2013,18
Thailand,45256,2013,19
Thailand,51147,2013,20
Thailand,66153,2013,21
Thailand,76942,2013,22
Thailand,82565,2013,23
Thailand,97654,2013,24
Thailand,89633,2013,25
Thailand,89603,2013,26
Thailand,89425,2013,27
Thailand,89726,2013,28
Thailand,79488,2013,29
Thailand,77173,2013,30
Thailand,80000,2013,31
Thailand,81079,2013,32
Thailand,84645,2013,33
Thailand,81725,2013,34
Thailand,79581,2013,35
Thailand,77872,2013,36
Thailand,57797,2013,37
Thailand,96213,2013,38
Thailand,94445,2013,39
Thailand,92048,2013,40
Thailand,0,2013,41
Thailand,67091,2013,42
Thailand,62440,2013,43
Thailand,65095,2013,44
Thailand,67188,2013,45
Thailand,73773,2013,46
Thailand,67406,2013,47
Thailand,79872,2013,48
Thailand,84623,2013,49
Thailand,78444,2013,50
Thailand,83817,2013,51
Thailand,76494,2013,52
Thailand,98035,2014,1
Thailand,103005,2014,2
Thailand,107959,2014,3
Thailand,110343,2014,4
Thailand,111121,2014,5
Thailand,125714,2014,6
Thailand,124725,2014,7
Thailand,123501,2014,8
Thailand,115411,2014,9
Thailand,103721,2014,10
Thailand,92408,2014,11
Thailand,76179,2014,12
Thailand,65234,2014,13
Thailand,55603,2014,14
Thailand,65195,2014,15
Thailand,55868,2014,16
Thailand,50532,2014,17
Thailand,49456,2014,18
Thailand,53672,2014,19
Thailand,77402,2014,20
Thailand,83825,2014,21
Thailand,87569,2014,22
Thailand,88178,2014,23
Thailand,87648,2014,24
Thailand,87121,2014,25
Thailand,82378,2014,26
Thailand,80037,2014,27
Thailand,82581,2014,28
Thailand,87470,2014,29
Thailand,93814,2014,30
Thailand,90587,2014,31
Thailand,94761,2014,32
Thailand,103517,2014,33
Thailand,108577,2014,34
Thailand,113528,2014,35
Thailand,108508,2014,36
Thailand,100899,2014,37
Thailand,95594,2014,38
Thailand,92883,2014,39
Thailand,85030,2014,40
Thailand,69601,2014,41
Thailand,60247,2014,42
Thailand,59509,2014,43
Thailand,72405,2014,44
Thailand,86351,2014,45
Thailand,100662,2014,46
Thailand,100741,2014,47
Thailand,88863,2014,48
Thailand,91546,2014,49
Thailand,91097,2014,50
Thailand,93330,2014,51
Thailand,0,2014,52
Thailand,132233,2015,1
Thailand,107024,2015,2
Thailand,117622,2015,3
Thailand,118971,2015,4
Thailand,115768,2015,5
Thailand,117198,2015,6
Thailand,106500,2015,7
Thailand,97324,2015,8
Thailand,89893,2015,9
Thailand,86770,2015,10
Thailand,79656,2015,11
Thailand,72257,2015,12
Thailand,63857,2015,13
Thailand,55207,2015,14
Thailand,51213,2015,15
Thailand,59811,2015,16
Thailand,54748,2015,17
Thailand,50302,2015,18
Thailand,52261,2015,19
Thailand,58422,2015,20
Thailand,72209,2015,21
Thailand,76771,2015,22
Thailand,83405,2015,23
Thailand,86672,2015,24
Thailand,92914,2015,25
Thailand,89705,2015,26
Thailand,82782,2015,27
Thailand,77263,2015,28
Thailand,81716,2015,29
Thailand,74116,2015,30
Thailand,87885,2015,31
Thailand,87640,2015,32
Thailand,95548,2015,33
Thailand,96742,2015,34
Thailand,96726,2015,35
Thailand,98779,2015,36
Thailand,91600,2015,37
Thailand,89489,2015,38
Thailand,94113,2015,39
Thailand,96043,2015,40
Thailand,87176,2015,41
Thailand,79154,2015,42
Thailand,85529,2015,43
Thailand,68498,2015,44
Thailand,77124,2015,45
Thailand,78281,2015,46
Thailand,120658,2015,47
Thailand,113106,2015,48
Thailand,99653,2015,49
Thailand,99131,2015,50
Thailand,95326,2015,51
Thailand,78197,2015,52
Thailand,102233,2016,1
